game-design.game-feel.combat | ~ | How attacking and being hit feels: impact, weight, feedback.
game-design.level-design.badly-laid-out | - | The places are built in a way that works against the player — cramped, narrow, or hard to move through.
game-design.power-balance.some-options-are-useless | - | A whole class of choice is never worth taking. **Inverse of `.one-option-dominates`.**
game-design.progression.unlock-pace.unlocks-too-fast | - | Everything opens up so quickly that unlocking stops meaning anything. **Inverse of `.grindy`.**
engineering.matchmaking.no-skill-matching | - | Nothing separates players by skill, so runs are ruined by people out of their depth.
community.developer-communication.punishes-criticism | - | Something a player said is met with removal rather than an answer — bans, deletions, or a fanbase that shouts 
audio.sound-effects.no-warning-sounds | - | Nothing in the sound tells the player a threat is coming. Distinct from `.drowns-out-what-matters`: the cue is
art.effects-and-gore.impacts-look-powerful | + | Hits, blood and explosions sell the force behind them.
art.effects-and-gore.impacts-look-weak | - | Hits, blood and explosions undersell what just happened.
art.effects-and-gore.unknown | ~ | Effects raised, no mode given.
art.animation.smooth-and-convincing | + | Movement reads as real weight and effort.
art.animation.stiff-or-clunky | - | Movement is rigid, snaps between poses, or does not match what is happening.
art.animation.unknown | ~ | Animation raised, no mode given.
audio.music.fits-the-game | + | The score suits the moment and the player notices it kindly.
audio.music.forgettable-or-annoying | - | The score adds nothing, or wears out.
audio.music.cannot-be-turned-off | - | No way to silence the music without losing sound the player needs.
audio.music.blocks-streaming | - | The music risks a copyright strike for anyone streaming or recording.
audio.music.unknown | ~ | Music raised, no mode given.
game-design.co-op-design.rewards-selfish-play | - | The fastest way to succeed is to leave the team behind. **Distinct from `.one-player-can-carry`**, where the s
game-design.randomness.not-random-enough | - | Chance is present and the runs still feel the same.
marketing.reputation.studio-lost-my-trust | - | The judgement extends past this game to the studio: the player says they will not buy from them again.
game-design.game-feel.movement.movement-feels-choppy | - | Moving does not flow: it jerks, snaps, or changes speed unexpectedly. **Distinct from `.sluggish`**, which is 
game-design.session-flexibility.locked-in-once-started | - | A choice made at the start cannot be changed without throwing away the whole run.
game-design.punishment-model.damage-carries-over | - | Harm taken in one level stays into the next with no way to recover it, so a run gets steadily harder for reaso
game-design.modes.a-mode-falls-flat | - | A mode that exists is not worth playing. **Distinct from `.expected-mode-missing`**, which is about a mode tha
game-design.co-op-design.teammates-can-take-your-things | - | Shared pickups let another player take what you were using or about to use.
game-design.progression.unlock-pace.slow-start | - | The opening hours are weak because the systems that make the game good are still locked.
engineering.access.unwanted-third-party-software | - | The game installs something extra the player did not want — anti-cheat, a launcher, a companion app. **Distinc
publishing.dlc-and-editions.no-upgrade-path-between-editions | - | A player who bought the base game cannot reach content locked to a bigger edition, at any price.
game-design.enemy-design.bullet-sponges | - | Enemies take so much damage that the fight is a timer, not a problem to solve.
game-design.enemy-design.no-counterplay | - | An attack cannot be dodged, blocked or answered by skill — the only response is to out-damage it.
game-design.readability.enemies-look-alike | - | Two enemy types read as the same thing and then behave completely differently.
game-design.world-interaction.hazards-punish-unfairly | - | World hazards fire from beyond what the player can see or control.
game-design.ui-ux.rules-poorly-worded | - | The game's own text does not say what a thing actually does.
game-design.power-balance.rules-favour-the-enemy | - | The systems hand enemies advantages on terms the player is never offered.
game-design.progression.complexity.requires-outside-research | - | Playing well means reading guides outside the game, because the game never teaches it.
game-design.progression.cosmetic-rewards.worth-chasing | + | The cosmetic rewards are something the player actually wants.
game-design.progression.cosmetic-rewards.not-worth-chasing | - | The cosmetic rewards do not motivate; unlocking them means nothing.
game-design.progression.cosmetic-rewards.unknown | ~ | Cosmetics raised, no verdict on them.
art.atmosphere.draws-you-in | + | Look, sound and setting combine into a mood the player wants to be in.
art.atmosphere.falls-flat | - | The pieces are there and the place never feels like anywhere.
art.atmosphere.unknown | ~ | Atmosphere raised, no mode given.
publishing.availability.undercut-by-subscription | - | The same game costs far less on a subscription service, and the full-price buyer feels cheated.
marketing.reputation.beaten-by-a-competitor | - | The reviewer names a **different** game that does this better and sends people there. **Distinct from `positio
community.player-conduct.welcoming-community | + | The people you meet make the game better.
community.player-conduct.trolls-and-griefers | - | Players deliberately spoil the run for others.
community.player-conduct.cheaters-spoil-matches | - | Cheating is common enough that the player names it.
community.player-conduct.unknown | ~ | Other players' behaviour raised, no mode given.
game-design.ui-ux.missing-quality-of-life | - | Basic conveniences other games have are simply absent — no scoreboard, no leaving as a party, no automatic re-
game-design.readability.reads-at-a-glance | + | The player can tell what is happening and what is coming without stopping to look.
game-design.role-design.role-has-no-clear-job | - | A role exists without a defined job, so the player cannot tell what it is for. **Distinct from `.roles-feel-sa
engineering.matchmaking.punished-for-leaving | - | Quitting a bad match costs the player a lockout, so a bad match has to be endured.
engineering.servers.no-player-hosting | - | No dedicated servers and no way for a player to host, so the game only works on whatever the studio runs.
publishing.dlc-and-editions.dlc-not-worth-it | - | The paid add-ons are not worth their price. **Inverse of `.dlc-is-fair`.**
publishing.dlc-and-editions.sold-before-it-is-known | - | A pass or edition goes on sale before the buyer is told what is in it.
