# Single-sighting backlog, built from tag-tree-open-gaps.md on 2026-09-24 (Rule C). Size bound: one row per parked note, ~500 rows.
# status: open | built rNNN <mode> | existing rNNN <mode> | skip: <why> | check: <why>
status	gaps_line	ref	kind	game	parked_on	review_ids	dir	proposed	quote
skip: needs a new subject (Rico)	5544	round 224	needs-new-subject	aliens-fireteam-elite	marketing.reputation.unknown	129116744	-	publisher and all its studios routinely fail (publisher-level subject split, open with Rico)	something Focus and their child studios routinely prove to be inept at understanding.
check: gap closed but bullet still on parked tag	577	gap 13	closed-built	helldivers-2	narrative.world-and-setting.world-worth-exploring	159572833	~	a live, directed ongoing campaign players follow outside the client	The game stretches beyond the application.
check: gap closed but bullet still on parked tag	3008	gap 106	closed-built	the-anacrusis	narrative.world-and-setting.setting-feels-thin	140195700	-	built game-design.level-design.nothing-in-the-place-says-what-happened-here	no indications of other survivors than yourselves, no gore-splatter, no signage
skip: joke	5823	gap 256	joke	aliens-fireteam-elite	narrative.world-and-setting.gets-its-subject-right	150118463	+	the fiction is read as being about the player's own life	cry that their lives belong to corporations just like ours. 10/10
check: gap closed but bullet still on parked tag	8271	round 325	closed-built	remnant-2	narrative.world-and-setting.unknown	146779750	-	world-and-setting.the-lore-arrives-in-dumps	They usually lore dump you a lot of information though.
skip: needs a new subject (Rico)	8437	round 332	needs-new-subject	remnant-2	power-balance.some-options-are-useless	163946710	-	loot.one-filler-type-crowds-out-the-rest (needs game-design.loot subject, open with Rico)	you will very soon collect DOZENS of rings, amulets, relics
skip: needs a new subject (Rico)	6242	round 234	needs-new-subject	aliens-fireteam-elite	production.content-amount.too-little	189604866	+	missing game-design.loot subject (Rico's call): likes the loot box, wants more	One of the things I enjoy is the loot box you can find on each level. I wish there was more than one.
skip: joke	6301	gap 278	joke	aliens-fireteam-elite	production.craftsmanship.unknown	192080525	-	the game is judged by its desktop icon	Fireteam Elite continues the franchise's 26-year running tradition of very low quality desktop icons.
skip: joke	9244	round 389	joke	warframe	progression.complexity.unknown	11594123	~	after 1,500 hours just learned a basic movement interaction (joke-shaped)	
skip: needs a new subject (Rico)	4179	round 201	needs-new-subject	terminull-brigade	publishing.availability.my-country-is-missing-from-the-in-game-list	201711547 212806425	?	localization subject for how a game represents places; open question for Rico	
check: gap closed but bullet still on parked tag	9265	round 391	closed-built	warframe	publishing.monetisation-practice.unknown	13746977	-	things that should be free, like colour palettes, are charged for	
skip: joke	8905	round 370	joke	risk-of-rain-2	randomness.unknown	162957923	~	Shrine of Chance joke about the gamble	
skip: joke	8905	round 370	joke	risk-of-rain-2	randomness.unknown	162957541	~	Shrine of Chance joke about the gamble	
skip: joke	4561	gap 189	joke	aliens-fireteam-elite	review.unknown	98958767	?	review is not about a game at all (aliens conspiracy piece)	not realistic to ones i've seen
skip: joke	6700	gap 301	joke	aliens-fireteam-elite	review.calls-it-average-rather-than-good-or-bad	223722635	-	replay value depends on the player forgetting how mid it is	great game to play with your friends once every 9 weeks so you forget how mid it is every time you play it again.
check: gap closed but bullet still on parked tag	7701	round 300	closed-built	space-marine-2	review.says-they-are-the-target-audience	176593790	+	made for its core fans, not a wider audience	
skip: joke	8779	round 362	joke	risk-of-rain-2	review.unknown	120698411	?	unreadable one-liner under a thumbs-up	
skip: joke	9329	round 395	joke	warframe	review.unknown	18800335	?	a jab at the game's Chinese-market release cast as a recommendation	
skip: joke	4453	gap 183	joke	terminull-brigade	review.negative.unknown	228015594	-	game measured by absence of fan-made (Rule 34) art	You know it's bad when even Rule 34 artists don't want to touch it
skip: joke	8910	round 370	joke	risk-of-rain-2	review.negative.unknown	158927620	?	one-word thumbs-down with no content	gyat
skip: joke	9062	round 377	joke	risk-of-rain-2	review.negative.unknown	203830802	?	rain joke under a thumbs-down	Not enough rain
skip: joke	2797	gap 104	joke	the-anacrusis	review.positive.unknown	130973653 132070561	~	review is ASCII-art picture with nothing to read; noted as should never be built	
skip: joke	8928	round 371	joke	risk-of-rain-2	review.positive.unknown	166427424	~	three-word joke review, 46 helpful	Risk of Ruin 2
skip: joke	9102	round 379	joke	risk-of-rain-2	review.positive.unknown	217819459	+	a joke review with 324 helpful votes	
skip: needs a new subject (Rico)	8292	round 326	needs-new-subject	remnant-2	reward-moment.the-payout-lands-flat	148307667	-	nothing drops at random; everything is staged (loot-subject evidence)	No random drops its all set and staged in specific areas.
skip: joke	8872	round 368	joke	risk-of-rain-2	role-design.unknown	147831882	?	a Commando joke, not a complaint	Commandussy
check: gap closed but bullet still on parked tag	8159	round 320	closed-built	remnant-2	stability.rock-solid	144296899	~	review.argues-with-the-other-reviews	I doubt they are telling the truth ... maybe it's your system.
skip: joke	8793	round 363	joke	risk-of-rain-2	stability.unknown	123106217	+	god-run joke about crashing the computer	
